City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Kavieng,PG,81.61,light rain,-2.5744,150.7967,Nusa Island Retreat
6,Ribeira Grande,PT,64.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
8,Hithadhoo,MV,81.81,broken clouds,-0.6,73.0833,Scoop Guest House
9,Kyaukse,MM,69.21,broken clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
10,Piacabucu,BR,79.18,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
11,Rikitea,PF,73.49,clear sky,-23.1203,-134.9692,People ThankYou
12,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Fallon,US,65.43,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
15,Huarmey,PE,67.87,overcast clouds,-10.0681,-78.1522,Hotel Miramar
19,Chibombo,ZM,71.82,overcast clouds,-14.6569,28.0706,Chibombo District Council Guest House
22,Dunedin,NZ,61.63,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
23,Chapada Dos Guimaraes,BR,65.86,moderate rain,-15.4606,-55.7497,Pousada Morro Dos Ventos
24,Hermanus,ZA,62.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Ballina,AU,77.18,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
28,Mercedes,AR,83.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
29,Camabatela,AO,61.66,broken clouds,-8.1881,15.375,Pensão E Restaurantes
30,Kilindoni,TZ,79.83,overcast clouds,-7.9139,39.6668,Bustani B&B
34,Iracoubo,GF,79.14,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
35,Santa Ana,US,78.35,haze,33.7456,-117.8678,Santa Ana Travel Inn
39,Atuona,PF,78.22,scattered clouds,-9.8,-139.0333,Villa Enata
40,Alofi,NU,84.09,light rain,-19.0595,-169.9187,Taloa Heights
41,Guerrero Negro,MX,70.14,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
42,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
48,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
52,Ponta Do Sol,PT,62.71,few clouds,32.6667,-17.1,Hotel do Campo
53,Airai,TL,63.21,overcast clouds,-8.9266,125.4092,Juvinal Martin
54,San Patricio,US,72.01,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
55,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
57,El Limon,VE,75.25,overcast clouds,10.3059,-67.6321,Campamento Valle Beraca
58,Daru,PG,81.0,overcast clouds,-9.0763,143.2092,Daru Lodge
59,Chuy,UY,65.48,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
61,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
63,Faanui,PF,80.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Hualmay,PE,66.9,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
66,Caloundra,AU,81.05,clear sky,-26.8,153.1333,Watermark Resort Caloundra
67,Praia Da Vitoria,PT,66.76,broken clouds,38.7333,-27.0667,Hotel Branco I
68,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
69,Constitucion,CL,60.37,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
72,El Carmen,CO,71.17,broken clouds,8.5106,-73.4478,Hotel La Casona
73,Flinders,AU,65.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
74,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
77,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
85,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
86,Coihaique,CL,63.21,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
88,Ampanihy,MG,70.93,scattered clouds,-24.7,44.75,Angora Hotel
92,Mataura,NZ,62.15,light rain,-46.1927,168.8643,Ellie's Villa
94,Lorengau,PG,82.65,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
95,Saint George,US,68.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
99,Riberalta,BO,77.2,broken clouds,-10.9833,-66.1,Hotel Colonial
101,Poptun,GT,72.77,overcast clouds,16.3311,-89.4169,Hotel Sevilla
103,Kaikalur,IN,74.44,overcast clouds,16.5667,81.2,Murali Krishna Donepudi
104,Varangaon,IN,72.97,overcast clouds,21.0167,75.9,Pramod Tawade
105,Port Blair,IN,80.24,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
106,Ancud,CL,60.33,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
107,Pasni,PK,69.51,clear sky,25.2631,63.471,Kashmiri Hotal
109,Castro,BR,63.27,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
110,Iberia,US,66.97,clear sky,29.9502,-91.7507,back to back rv park
111,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
112,Pisco,PE,69.85,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
113,Banda Aceh,ID,78.91,overcast clouds,5.5577,95.3222,Sulthan Hotel International
114,Kupang,ID,80.55,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
119,Jijiga,ET,61.45,broken clouds,9.35,42.8,RAMAAS HOTEL
